Pressure(Pa),Temperature(K),CO2_mole_frac,CH4_mole_frac,CO2_uptake,CH4_uptake,CO2_Error,CH4_Error
1200000.096,300,0.14,0.86,162.8775994832,68.3670260772,3.1663549332,0.6035645666
1200000.096,300,0.16,0.84,185.6604397161,65.7560930804,2.7291979823,0.9289482601
1200000.096,300,0.18,0.82,205.0991174326,63.0034990245,3.2491242969,0.5091385146
1200000.096,300,0.2,0.8,227.0956307550,60.5349895964,3.4207735468,0.5647901265
1200000.096,300,0.22,0.78,244.9012798738,57.8566242115,7.5758649538,0.4712610238
1200000.096,300,0.24,0.76,264.7612171389,55.3130241448,5.0711973493,0.4891767646
1200000.096,300,0.26,0.74,283.8231889823,52.7887851964,4.3458500057,0.9330455012
1200000.096,300,0.28,0.72,301.2823196164,50.5279768059,5.0222831273,0.4254493476
1200000.096,300,0.3,0.7,316.7954548134,47.9648167054,5.9998221674,0.5179356044
1200000.096,300,0.32,0.68,335.2544972230,45.6771215565,3.8652129766,0.5002335307
1200000.096,300,0.34,0.66,350.9014752985,43.4372987617,3.4669995445,0.3401744049
1200000.096,300,0.36,0.64,366.3119551901,41.3313130123,7.0933348424,0.4668350070
1200000.096,300,0.38,0.62,379.5305760964,39.2553635183,3.8374860680,0.4881270358
1200000.096,300,0.4,0.6,393.3649469839,37.0014177160,5.8024459166,0.7643048531
1200000.096,300,0.42,0.58,407.5458363562,35.0291032490,2.9358984720,0.4323719106
1200000.096,300,0.44,0.56,423.6183474961,32.9697300549,4.3098971609,0.1930790335
1200000.096,300,0.46,0.54,431.9276989120,31.2939987457,3.2539265722,0.2586491473
1200000.096,300,0.48,0.52,442.2380559152,29.6140239036,3.0901288982,0.3243431463
1200000.096,300,0.5,0.5,456.2619163127,27.8967855394,2.9341234787,0.5818950285
1200000.096,300,0.52,0.48,467.6430163431,26.0888085096,3.9421354373,0.4863073219
1200000.096,300,0.54,0.46,479.0039308306,24.3703103466,2.9721852224,0.2098281444
1200000.096,300,0.56,0.44,485.4123860403,22.8731720924,6.2498692246,0.4169812914
1200000.096,300,0.58,0.42,495.8333088997,21.4534451588,3.1659523045,0.1078595468
1200000.096,300,0.6,0.4,504.8642480077,20.0186337922,4.2641228201,0.2400314713
1200000.096,300,0.62,0.38,514.6093188867,18.6775448253,3.4023281278,0.2015454929
1200000.096,300,0.64,0.36,524.1334399054,17.2084868232,7.4824266596,0.3514795665
1200000.096,300,0.66,0.34,529.1709148703,16.0736070270,5.8257627872,0.2151945033
1200000.096,300,0.68,0.32,536.7588604458,14.8112554846,3.7949115097,0.1898759114
1200000.096,300,0.7,0.3,545.5545743321,13.6296636753,4.5501974715,0.3286183222
1200000.096,300,0.72,0.28,549.4955742491,12.5333403526,4.6058686349,0.2263477332
1200000.096,300,0.74,0.26,559.3312072932,11.2619381505,2.5527260076,0.1025808084
1200000.096,300,0.76,0.24,565.4493362048,10.3552145461,3.2625870565,0.3323510678
1200000.096,300,0.78,0.22,575.1686750631,9.1866517085,3.7361093307,0.1720540847
1200000.096,300,0.8,0.2,579.5331167496,8.2019200368,4.7507762547,0.0870906618
1200000.096,300,0.82,0.18,584.6282387151,7.2855821784,5.4238537453,0.2084840876
1200000.096,300,0.84,0.16,589.8167415475,6.3905614418,3.5717315633,0.1711626829
1200000.096,300,0.86,0.14,596.6030846666,5.4744556516,1.9285012395,0.0918566113
1200000.096,300,0.88,0.12,600.0922739432,4.6890042573,6.3538151795,0.0999528837
1200000.096,300,0.9,0.1,607.2014038953,3.7875850688,2.9007643966,0.0703559096
1200000.096,300,0.92,0.08,612.8443542183,2.9589358369,5.1322043840,0.1059017963
1200000.096,300,0.94,0.06,614.2388842631,2.2260976185,4.7742579850,0.0376649720
1200000.096,300,0.96,0.04,618.8466435736,1.4592448326,1.0330764295,0.0598139055
1200000.096,300,0.98,0.02,626.5847077579,0.6957073067,2.9197070825,0.0082095370
1800000.094,300,0.02,0.98,32.9182558653,107.2582082868,0.2915029456,1.1966099315
1800000.094,300,0.04,0.96,64.6234697193,103.3179554959,0.9820941062,1.1470126952
1800000.094,300,0.06,0.94,94.7935821359,98.7479359193,1.4629923750,0.5401615094
1800000.094,300,0.08,0.92,125.1283613004,94.8870172998,1.3751819769,1.0196656985
1800000.094,300,0.1,0.9,153.1157073186,90.3862866567,1.8216422253,0.4343446284
1800000.094,300,0.12,0.88,179.1367814311,86.4262417638,3.0571318497,0.2956709813
1800000.094,300,0.14,0.86,207.1789557480,82.0542095132,2.4559808980,0.6020567036
1800000.094,300,0.16,0.84,232.5705500731,78.0422476489,2.1052634326,1.1991110728
1800000.094,300,0.18,0.82,255.1692654224,74.5461733901,4.2727344574,0.5820069945
1800000.094,300,0.2,0.8,278.5466699092,70.6852879231,4.5425016738,0.7805561589
1800000.094,300,0.22,0.78,301.2889572048,67.3639941704,3.5438176189,0.8154331034
1800000.094,300,0.24,0.76,319.7501818352,63.8064549916,4.6123502260,0.3847852121
1800000.094,300,0.26,0.74,342.0408403421,60.3679004934,4.4254224920,0.6841614877
1800000.094,300,0.28,0.72,361.7945761928,56.8895297229,5.2098879086,0.6564680889
1800000.094,300,0.3,0.7,376.6765949369,54.1010645541,3.5640157164,0.5711788673
1800000.094,300,0.32,0.68,394.3012106515,50.9339303904,4.4712422675,0.5261995261
1800000.094,300,0.34,0.66,411.5568491919,47.9175079455,3.0157492878,1.0460279077
1800000.094,300,0.36,0.64,425.9297739984,45.4216807751,4.6746673085,0.7906261971
1800000.094,300,0.38,0.62,440.1599451914,42.8801361695,3.2007443861,0.5334895345
1800000.094,300,0.4,0.6,453.3517429665,40.5610455087,6.6570960244,1.3617414445
1800000.094,300,0.42,0.58,465.8303182293,38.0608090425,5.3913621775,0.6392666645
1800000.094,300,0.44,0.56,479.6993318727,35.7354525402,1.3026916395,0.3402921859
1800000.094,300,0.46,0.54,491.8367532770,33.6359315478,1.6593793527,0.2020140441
1800000.094,300,0.48,0.52,502.9766269783,31.7764353779,2.9853085217,0.4186527839
1800000.094,300,0.5,0.5,512.1216780513,29.7002538157,7.9477255345,0.4410604732
1800000.094,300,0.52,0.48,522.3675686139,27.8213965275,4.7847934063,0.5514520020
1800000.094,300,0.54,0.46,531.6774682864,25.8572707526,6.3896391025,0.6403053542
1800000.094,300,0.56,0.44,540.9208102232,24.4645300352,3.2714304330,0.4067445762
1800000.094,300,0.58,0.42,550.5119436069,22.7061161421,2.8109960926,0.4872448137
1800000.094,300,0.6,0.4,560.6071700054,21.0691733746,6.4277241571,0.3051546099
1800000.094,300,0.62,0.38,567.2854931927,19.4970770923,5.5104432765,0.3867102280
1800000.094,300,0.64,0.36,574.6022069025,18.3280832709,4.9572771682,0.4814392645
1800000.094,300,0.66,0.34,581.0741283684,16.8211649998,5.4687405550,0.2244018544
1800000.094,300,0.68,0.32,588.6590733902,15.4840874974,5.4657591418,0.3951472819
1800000.094,300,0.7,0.3,595.0780760006,14.3015674153,3.4184419373,0.3917395924
1800000.094,300,0.72,0.28,602.3093193941,13.0618590986,2.9467516604,0.2566754352
1800000.094,300,0.74,0.26,607.9119895574,11.7631060016,5.1868111113,0.3720034654
1800000.094,300,0.76,0.24,613.7321543981,10.7345465929,1.7434088746,0.1973156960
1800000.094,300,0.78,0.22,618.9260218568,9.7024067035,2.7957124507,0.2523040834
1800000.094,300,0.8,0.2,624.5215998023,8.5802243530,3.6507123217,0.1601622649
1800000.094,300,0.82,0.18,631.8975971784,7.6573222799,2.3381506299,0.1798598173
1800000.094,300,0.84,0.16,637.3723346448,6.6189165491,2.7239033545,0.1918957704
1800000.094,300,0.86,0.14,640.3882547760,5.7503847397,0.9717043665,0.1143193941
1800000.094,300,0.88,0.12,645.2536979978,4.7992698042,4.8905192361,0.1845301937
1800000.094,300,0.9,0.1,650.3194509078,3.9644873413,4.0384283831,0.1382574870
1800000.094,300,0.92,0.08,655.7657285773,3.1158470918,4.2096078308,0.1475191602
1800000.094,300,0.94,0.06,659.5753406144,2.3028458870,3.9558672765,0.0676594449
1800000.094,300,0.96,0.04,663.1553648337,1.4803298861,3.3220896895,0.0844316988
1800000.094,300,0.98,0.02,664.9958862632,0.7569733111,1.8061720129,0.0287512374
2400000.092,300,0.02,0.98,39.0987599227,123.1273632309,0.7641055536,0.7760347814
2400000.092,300,0.04,0.96,75.7587971272,117.7474919465,0.9791909065,0.9088471050
2400000.092,300,0.06,0.94,110.7596190838,112.1994043707,2.1067039382,0.7770964470
2400000.092,300,0.08,0.92,145.1073205273,106.1613545226,1.4481802091,0.6864356901
2400000.092,300,0.1,0.9,176.3934570535,100.8671827086,2.4129558796,0.3524413326
2400000.092,300,0.12,0.88,205.6552200442,95.7397684717,3.9749646680,0.4013180143
2400000.092,300,0.14,0.86,235.9529923802,90.2563616181,3.4754412094,0.7669161782
2400000.092,300,0.16,0.84,262.1145469595,85.7183674529,4.7634020425,1.0756624908
2400000.092,300,0.18,0.82,287.9270371298,81.0497851972,2.9906057276,1.0592109098
2400000.092,300,0.2,0.8,312.9480176151,76.3078693906,3.1219812690,0.4605667889
2400000.092,300,0.22,0.78,332.6242846258,72.4723456625,4.5987933307,1.1524519997
2400000.092,300,0.24,0.76,356.9651396150,68.2611366735,2.5782625144,0.7805646130
2400000.092,300,0.26,0.74,375.8313480636,64.6960055493,3.1739804635,0.9796914977
2400000.092,300,0.28,0.72,394.2591119744,60.9462807494,8.0038354178,0.9303610814
2400000.092,300,0.3,0.7,413.4655650228,57.0721342425,5.3095790609,0.3017676020
2400000.092,300,0.32,0.68,429.8324941248,53.8761904697,2.6933254624,0.5533546344
2400000.092,300,0.34,0.66,444.9832897361,50.6949664511,3.7323422381,1.2367010245
2400000.092,300,0.36,0.64,459.9780565570,47.8915826124,1.7600740920,0.6830193519
2400000.092,300,0.38,0.62,473.4159906580,44.9906306725,6.3139240729,0.9062647606
2400000.092,300,0.4,0.6,483.5373127808,42.7828664417,5.0787988380,0.9039278356
2400000.092,300,0.42,0.58,500.0992778706,39.8963690354,2.5571838778,0.5736189010
2400000.092,300,0.44,0.56,514.1204104920,37.2930611364,1.0823448741,0.4431422782
2400000.092,300,0.46,0.54,524.2290939190,35.0303630478,6.6585021153,1.1434709328
2400000.092,300,0.48,0.52,533.8792381914,32.9671773047,2.0681590858,0.3434316585
2400000.092,300,0.5,0.5,542.8147960634,30.9465594998,2.8325820687,0.5411406807
2400000.092,300,0.52,0.48,553.6635251339,28.7315348497,4.2102634841,0.5557479384
2400000.092,300,0.54,0.46,561.4713294593,27.2896951320,1.3965061384,0.6943889515
2400000.092,300,0.56,0.44,569.7068490700,25.3583241257,2.5150871922,0.5009236758
2400000.092,300,0.58,0.42,579.9548309275,23.5514742842,4.9288066821,0.6731099105
2400000.092,300,0.6,0.4,586.0548655914,22.0952463382,1.9874490887,0.3418900427
2400000.092,300,0.62,0.38,595.7765685222,20.2749365413,4.7990968860,0.5387517759
2400000.092,300,0.64,0.36,600.4338824310,19.0569763300,4.5823060213,0.1571903731
2400000.092,300,0.66,0.34,610.0600222741,17.4136019581,1.9444730801,0.5312748296
2400000.092,300,0.68,0.32,614.3275369848,16.2138756767,5.1397705618,0.3173242857
2400000.092,300,0.7,0.3,621.4724008032,14.6957518269,4.2588258914,0.4265770871
2400000.092,300,0.72,0.28,629.8813160451,13.3355338099,7.2453713179,0.4462594407
2400000.092,300,0.74,0.26,635.4766212131,12.4306004459,3.3314543153,0.3179130282
2400000.092,300,0.76,0.24,642.1257571966,10.9462922478,2.6516169617,0.2793449469
2400000.092,300,0.78,0.22,646.4440085419,9.9269161093,3.2325644040,0.3809730483
2400000.092,300,0.8,0.2,651.8561890108,8.8376874431,3.5790191329,0.2268298261
2400000.092,300,0.82,0.18,656.1997177475,7.9814552481,1.1858113790,0.2191802995
2400000.092,300,0.84,0.16,659.5599741427,6.8969010984,1.8590506059,0.0919419084
2400000.092,300,0.86,0.14,665.3687732498,5.9028203936,5.1240239195,0.1323927395
2400000.092,300,0.88,0.12,668.3879667123,4.9262442614,8.8002054611,0.2384758106
2400000.092,300,0.9,0.1,674.7446851028,4.0728963427,3.0286323682,0.0607883813
2400000.092,300,0.92,0.08,679.6286772018,3.2509770885,5.4341025187,0.0472646792
2400000.092,300,0.94,0.06,681.5001134266,2.3832409415,3.3214308290,0.0537254630
2400000.092,300,0.96,0.04,687.6866185914,1.5161015412,3.3697304290,0.0761740844
2400000.092,300,0.98,0.02,691.3121966707,0.7678805165,4.2024133353,0.0378710087
3000000.09,300,0.02,0.98,43.8890983771,135.1165699631,0.5903996374,0.9353768063
3000000.09,300,0.04,0.96,84.3653852071,128.1363563813,1.6301616733,0.9446512885
3000000.09,300,0.06,0.94,123.3053885634,121.6308880287,0.8026111237,0.6020292830
3000000.09,300,0.08,0.92,159.4026855680,114.9850847211,1.5486021771,0.5437555812
