Pressure(Pa),Temperature(K),Xe_mole_frac,Kr_mole_frac,Xe_uptake,Kr_uptake,Xe_Error,Kr_Error
1200000.094,300,0.18,0.82,484.4137423104,300.4343040559,1.3573109796,1.4074394809
1200000.094,300,0.2,0.8,521.7423071707,286.8025380096,0.5074871792,1.0014501456
1200000.094,300,0.22,0.78,556.9208464554,273.2781046132,2.0353532248,1.3290001041
1200000.094,300,0.24,0.76,590.8981801638,260.6769432763,1.2218622751,0.8336769260
1200000.094,300,0.26,0.74,622.7510470166,248.7904497557,2.3295036238,1.1926415099
1200000.094,300,0.28,0.72,651.9682726135,236.9097228973,2.2836786843,0.8159349976
1200000.094,300,0.3,0.7,680.8792548208,225.4566295424,2.0276836937,0.2959474370
1200000.094,300,0.32,0.68,707.1550298906,215.2065519749,1.8460321135,0.7348921076
1200000.094,300,0.34,0.66,732.7788405405,205.1653903622,0.6837454050,1.0959055206
1200000.094,300,0.36,0.64,757.3431581349,195.1034306674,1.1566166237,0.6672891124
1200000.094,300,0.38,0.62,780.6364856224,185.4950631147,1.2499197932,0.5769713037
1200000.094,300,0.4,0.6,802.1322916644,176.1374501231,0.5890694335,0.5702059557
1200000.094,300,0.42,0.58,823.1970724131,167.5667007879,1.6106377717,0.8538927137
1200000.094,300,0.44,0.56,842.2588037925,158.9676030261,3.3609209650,0.6393986373
1200000.094,300,0.46,0.54,862.4414288468,150.8136638795,1.2692429846,0.4780146898
1200000.094,300,0.48,0.52,880.8781925436,142.8880707025,1.1204168226,0.5964333157
1200000.094,300,0.5,0.5,898.2813746263,135.1906676396,1.9160497926,0.3951092082
1200000.094,300,0.52,0.48,915.3582624764,127.8167691316,0.8674357844,0.3490888775
1200000.094,300,0.54,0.46,931.3917467838,120.8677853104,1.9360124773,0.3578109604
1200000.094,300,0.56,0.44,946.9785504035,113.7945671507,1.7932267983,0.5706096647
1200000.094,300,0.58,0.42,962.4995308228,106.9371918674,1.4346324414,0.3112016443
1200000.094,300,0.6,0.4,976.3263371052,100.4920203697,2.2217732594,0.4804148044
1200000.094,300,0.62,0.38,990.1035724942,94.0372897202,1.7490154246,0.6389913480
1200000.094,300,0.64,0.36,1003.4485616320,88.0104869684,1.9816445081,0.5022954814
1200000.094,300,0.66,0.34,1017.1875403382,82.0825833394,2.2791654788,0.1589032866
1200000.094,300,0.68,0.32,1029.5530769981,76.1665766982,2.5665923863,0.1191829447
1200000.094,300,0.7,0.3,1040.7706961137,70.6973738159,2.2222356723,0.3337629540
1200000.094,300,0.72,0.28,1052.2200530506,65.0701332179,1.5186439613,0.2482937478
1200000.094,300,0.74,0.26,1064.6922471717,59.5366311862,1.4785077084,0.4061460339
1200000.094,300,0.76,0.24,1076.1663217242,54.5157733029,1.3895016652,0.2682999715
1200000.094,300,0.78,0.22,1085.7654932289,49.3342974257,1.7665157874,0.2372245985
1200000.094,300,0.8,0.2,1096.9202194431,44.2836884142,1.2706356545,0.3085899170
1200000.094,300,0.82,0.18,1107.1781927322,39.4156557383,0.4254018467,0.2335524633
1200000.094,300,0.84,0.16,1116.4071697825,34.6145024901,1.6419098975,0.1016337446
1200000.094,300,0.86,0.14,1125.9715304190,30.0367770974,2.3883046911,0.2722923664
1200000.094,300,0.88,0.12,1135.4264118249,25.4169533388,2.3658335684,0.1596485246
1200000.094,300,0.9,0.1,1143.6640524065,21.0005905842,1.7962057419,0.1273598596
1200000.094,300,0.92,0.08,1152.8352645789,16.6328548191,1.8480073306,0.0926068407
1200000.094,300,0.94,0.06,1161.9765768475,12.3422503257,1.2779438744,0.0792245439
1200000.094,300,0.96,0.04,1169.6412896880,8.1858029859,1.3265954514,0.0708572784
1200000.094,300,0.98,0.02,1177.6357968406,4.0336330202,2.5190327677,0.0266742700
1600000.092,300,0.02,0.98,85.5133181467,536.2700077628,0.6902401507,2.2249087515
1600000.092,300,0.04,0.96,160.7095143740,504.9174445947,0.6002764636,1.2957576756
1600000.092,300,0.06,0.94,228.3083403756,477.8355017513,0.8086408101,1.4932359435
1600000.092,300,0.08,0.92,289.4183445845,451.9205893377,1.4259997355,1.6450081303
1600000.092,300,0.1,0.9,345.8051678772,428.9572382076,2.0625512510,1.6266592861
1600000.092,300,0.12,0.88,398.2434673825,407.1074589901,1.5618955247,1.5861355733
1600000.092,300,0.14,0.86,446.1202679382,387.3341976880,0.6968494533,0.4366397337
1600000.092,300,0.16,0.84,491.9213042949,367.3019907401,0.5918084575,1.0944592721
1600000.092,300,0.18,0.82,532.9042234707,349.1768345713,1.0618466552,1.1943645544
1600000.092,300,0.2,0.8,572.9213920302,332.4227413073,0.9628647009,0.7462433938
1600000.092,300,0.22,0.78,610.0770963753,315.9268144105,1.0753818797,1.6449863909
1600000.092,300,0.24,0.76,643.5243172686,300.7928241994,0.9098240128,1.1919411262
1600000.092,300,0.26,0.74,675.9269136611,285.4713222211,1.5148338903,1.0439185636
1600000.092,300,0.28,0.72,705.9419131910,271.9147132740,1.3728656742,1.6818050931
