Pressure(Pa),Temperature(K),H2S_mole_frac,CO2_mole_frac,H2S_uptake,CO2_uptake,H2S_Error,CO2_Error
1000000.09,400.,0.596,0.404,122.4305922150,56.1141723186,1.6490107004,0.6633530619
2000000.08,220.,0.308,0.692,320.6624924742,480.5432148579,17.2861173070,17.7082178044
0.1,260.,0.788,0.212,0.0051996911,0.0002727776,0.0022397146,0.0007274069
0.1,260.,0.212,0.788,0.0015458541,0.0012729622,0.0019674507,0.0013363319
2500000.075,220.,0.788,0.212,587.2746172823,148.8377361330,21.1410382821,26.0878458181
10000000.,260.,0.212,0.788,212.5656217772,565.5224406031,5.0485141838,6.7591103956
10000000.,260.,0.788,0.212,573.2180252482,119.7720093147,10.3256208992,14.1696963919
500000.095,360.,0.788,0.212,192.1450294005,32.0541873372,3.8048110112,0.7188890127
0.1,220.,0.212,0.788,0.0205177001,0.0081833282,0.0034594904,0.0025717719
0.1,220.,0.788,0.212,0.0729362080,0.0025459243,0.0097221467,0.0023429957
500000.095,360.,0.308,0.692,71.1609350441,99.1865745451,1.5379263633,1.5019314735
1500000.085,280.,0.98,0.02,638.7892923310,4.2390549139,3.0166713463,0.7355192177
10000000.,360.,0.02,0.98,21.8331517108,597.1578233901,0.5913694854,4.7617193554
10000000.,360.,0.98,0.02,578.5578972371,7.6654144154,4.3039398717,0.6013032659
500000.095,240.,0.212,0.788,363.7884496152,381.4291991559,21.4628472189,22.3054071836
10000000.,360.,0.5,0.5,398.2086482220,200.4072516938,3.8115119053,4.3574862482
500000.095,240.,0.788,0.212,630.8103662970,54.7035483952,8.9944622624,4.7886932842
1000000.09,400.,0.02,0.98,4.8461121301,143.3955501275,0.1196065190,1.9939535870
500000.095,220.,0.02,0.98,38.1466907584,828.5568845739,4.4901235744,12.0147581043
0.1,360.,0.212,0.788,0.0000000000,0.0000000000,0.0000000000,0.0000000000
500000.095,220.,0.98,0.02,670.9767857276,11.6575146705,5.6552020520,3.6244691906
1000000.09,200.,0.308,0.692,324.4438624470,502.3126862868,25.6558323503,41.7734572054
0.1,360.,0.788,0.212,0.0000702661,0.0000909259,0.0002810644,0.0003637035
3000000.07,260.,0.5,0.5,433.0073000235,293.0923538658,16.7299499920,18.3833727074
1000000.09,320.,0.212,0.788,204.7889918345,328.4306926462,2.4730830581,1.9929912824
500000.095,320.,0.788,0.212,470.3603352241,42.5511242226,3.6749749463,1.2205112329
