Pressure(Pa),Temperature(K),CO2_mole_frac,CH4_mole_frac,CO2_uptake,CH4_uptake,CO2_Error,CH4_Error
10,400,0.02,0.98,0.0001818517,0.0002652208,0.0004454440,0.0003380915
10,400,0.2,0.8,0.0007274069,0.0001989156,0.0010911104,0.0002480913
10,400,0.4,0.6,0.0014548139,0.0000663052,0.0013363319,0.0001624139
10,400,0.6,0.4,0.0019094432,0.0000331526,0.0012062680,0.0001326104
10,400,0.8,0.2,0.0013638880,0.0002320682,0.0017251971,0.0003978312
10,400,0.98,0.02,0.0016366656,0.0000000000,0.0019586031,0.0000000000
1000,200,0.02,0.98,5.5607533380,8.6965568257,0.2630644875,0.3224388792
1000,200,0.2,0.8,54.6295347383,4.4895250643,2.2193001799,0.1682609898
1000,200,0.4,0.6,90.7960263287,2.1985809606,3.7894247576,0.0983128818
1000,200,0.6,0.4,116.3280101947,1.0720224670,6.0642064824,0.0730999114
1000,200,0.8,0.2,136.9613628970,0.4622466989,2.9749255984,0.0428177602
1000,200,0.98,0.02,160.0047966690,0.0422364121,12.4438599098,0.0045765000
1000,300,0.02,0.98,0.0432807134,0.2487108037,0.0088604915,0.0063928666
1000,300,0.2,0.8,0.4389900930,0.2084967001,0.0236658919,0.0141921010
1000,300,0.4,0.6,0.8810716655,0.1477942899,0.0242142946,0.0101375425
1000,300,0.6,0.4,1.3267902727,0.1029056698,0.0500194764,0.0047323522
1000,300,0.8,0.2,1.7756003595,0.0521821921,0.0377122096,0.0040787130
1000,300,0.98,0.02,2.1347575399,0.0048402796,0.0398649536,0.0007079458
1000,400,0.02,0.98,0.0033642571,0.0368325384,0.0016864236,0.0028240100
1000,400,0.2,0.8,0.0400983080,0.0296052716,0.0039172063,0.0035122985
1000,400,0.4,0.6,0.0748319897,0.0224774627,0.0085024196,0.0029844706
1000,400,0.6,0.4,0.1230227000,0.0143882283,0.0167816740,0.0039915510
1000,400,0.8,0.2,0.1590293440,0.0070946564,0.0160236045,0.0005304416
1000,400,0.98,0.02,0.1989458002,0.0007956624,0.0197675431,0.0005703789
100000,200,0.02,0.98,310.0598483290,108.5208250500,5.1556965315,1.7051152515
100000,200,0.2,0.8,772.3194167776,19.2230708550,13.8787472660,0.9656527829
100000,200,0.4,0.6,830.2430138788,8.9678777024,10.4673049818,1.1406053089
100000,200,0.6,0.4,854.8811964578,3.8199420062,6.2010255342,0.9520876395
100000,200,0.8,0.2,872.4978106960,1.3377074017,15.4619179734,0.3776524387
100000,200,0.98,0.02,884.6855141056,0.1178574923,15.8728708820,0.0156976772
100000,300,0.02,0.98,3.1792229910,14.8198751605,0.0714054687,0.3642081301
100000,300,0.2,0.8,31.3663331422,11.3934213613,1.1949819829,0.2593576341
100000,300,0.4,0.6,60.0231663300,7.8481154918,2.1811801455,0.2923556031
100000,300,0.6,0.4,87.0684294249,4.8621271334,2.3055693209,0.1530474823
100000,300,0.8,0.2,111.9271981609,2.2869326391,0.4660929906,0.0847899631
100000,300,0.98,0.02,134.1405696795,0.2209289250,4.0155329887,0.0105013705
100000,400,0.02,0.98,0.3837071649,3.4330843192,0.0263653663,0.0741395911
100000,400,0.2,0.8,3.9319073302,2.8174736936,0.0365906302,0.0483414472
100000,400,0.4,0.6,7.8948203815,2.1252474099,0.1668271400,0.0377398339
100000,400,0.6,0.4,11.7303462912,1.3841873467,0.5338753231,0.0300667579
100000,400,0.8,0.2,15.7165363648,0.6922262837,0.2357579951,0.0336135319
100000,400,0.98,0.02,19.0142357625,0.0731014825,0.5804041413,0.0047767363
10000000,200,0.02,0.98,224.2995693737,220.3439474130,15.0012953913,5.7129914144
10000000,200,0.2,0.8,598.4735207068,100.4956746753,31.9715347417,10.6787386439
10000000,200,0.4,0.6,720.6026013099,62.4331748503,27.4857117809,7.1401314399
10000000,200,0.6,0.4,773.3303305833,45.2130183119,29.4957922875,8.4054137378
10000000,200,0.8,0.2,822.9516684862,28.0321144518,16.6270880024,3.0136619342
10000000,200,0.98,0.02,898.9423265780,4.4563061593,11.6399087300,0.8729726211
10000000,300,0.02,0.98,58.7572963891,187.8553941915,1.0464211622,1.1300413082
10000000,300,0.2,0.8,381.2502570467,103.8515465896,6.3836478898,1.2053399251
10000000,300,0.4,0.6,548.7934446928,58.0057777580,3.9336491841,0.8944750088
10000000,300,0.6,0.4,642.6877699896,32.4795025617,4.6483044683,1.2138932157
10000000,300,0.8,0.2,699.5073451958,17.0894689899,2.3570781753,0.5067158314
10000000,300,0.98,0.02,748.1729612953,2.2054435488,7.3224766295,0.0456396563
10000000,400,0.02,0.98,15.6664362113,117.7851864524,0.2387384344,0.9262951811
