GP-based_mean_CO2,GP-based_mean_CH4,max_GP_CO2,max_GP_CH4,r2_CO2,r2_CH4,true_rel_error_CO2,true_rel_error_Ch4,ACC_R_CO2,ACC_R_CH4,ACC_C_CO2,ACC_C_CH4
0.928654723689677,4.745696476219715,3.974029382912555,1269.1056626986142,0.986,0.992,5.981,8.73,99.174,25.108,100.0,83.904 
0.9167165943806094,3.911956648345212,3.953104986107709,142.39250560753922,0.986,0.993,5.979,8.609,99.174,25.266,100.0,85.675 
0.9004629323837786,3.7937690837440727,3.9405317307426038,126.1764405262466,0.987,0.99,5.878,9.341,99.174,25.856,100.0,86.738 
0.8865261742183256,3.6571018794419636,3.9307894586421948,130.12413676663107,0.987,0.99,5.849,9.321,99.252,28.02,100.0,88.745 
0.8759165523509209,3.565740550154591,3.8805193699728258,127.26692314588057,0.987,0.991,5.847,9.203,99.252,30.421,100.0,89.138 
0.8700104875886782,3.766486846530345,3.823501237012787,138.83083042994514,0.986,0.991,5.993,9.224,99.252,28.296,100.0,87.761 
0.8552018770584877,3.5627993995189824,3.818268572807768,117.59039785157283,0.987,0.99,5.882,9.282,99.252,30.657,100.0,88.941 
0.850071704348367,3.507278899943204,3.820297706984551,117.46653477793554,0.987,0.99,5.887,9.34,99.41,31.956,100.0,89.335 
0.8469058508111449,3.470408564875752,3.8137634833045198,116.88921933700689,0.986,0.99,5.985,9.339,99.449,32.743,100.0,89.61 
0.8424587236597293,3.4156366023500877,3.3099072712651436,115.91423369849059,0.987,0.99,5.857,9.299,99.764,35.144,100.0,89.847 
1.0418109985951476,3.850999020477113,3.591547726861613,135.83046117180854,0.989,0.989,5.375,9.366,98.032,27.784,100.0,87.525 
1.0202347624085306,3.7088757344849994,3.5868532806026656,135.80002969111882,0.989,0.989,5.377,9.363,98.15,31.444,100.0,88.154 
1.0065724665394478,3.504818655988706,3.5829424689695624,166.20751184541754,0.989,0.99,5.374,9.29,98.15,31.838,100.0,89.532 
0.9833444998662598,3.354750240282045,3.5739158168357004,162.40522943737085,0.988,0.99,5.461,9.256,98.268,37.741,100.0,90.201 
