GP-based_mean_CO2,GP-based_mean_CH4,max_GP_CO2,max_GP_CH4,r2_CO2,r2_CH4,true_rel_error_CO2,true_rel_error_Ch4,ACC_R_CO2,ACC_R_CH4,ACC_C_CO2,ACC_C_CH4
2.2130720158390385,8.9003656525782,24.12672508939697,86.03447469923576,0.985,0.987,6.036,8.075,50.649,7.477,97.285,21.921 
2.1151022325021867,8.676409886902094,24.049966664616797,87.79312732676496,0.985,0.987,5.938,8.522,54.309,7.556,97.56,22.865 
2.1093181507279652,8.586575941260335,23.950336890184182,85.49766950523822,0.985,0.985,5.963,8.236,54.034,7.595,97.757,23.455 
1.9732653418090387,8.204774630438896,23.889613473589332,85.6059077068126,0.986,0.991,5.858,7.745,59.819,8.068,98.032,25.58 
1.9316437803573452,8.031924816097453,23.91081722595979,83.42274349549058,0.978,0.991,6.715,7.359,61.314,8.501,98.268,27.037 
1.8459229556648948,7.747247786236928,23.82807198677147,84.39497284414324,0.976,0.991,6.887,7.734,64.463,8.658,98.505,28.257 
1.8421450346260895,7.580343399654461,23.82037653973957,81.80932241194012,0.982,0.991,6.428,7.234,65.053,9.012,98.426,29.555 
1.5521843679086915,7.021143097242734,23.76011814512252,81.3171796367,0.982,0.991,5.925,7.189,77.214,9.603,99.685,34.081 
1.4532622787103566,6.5582332996633195,23.7104136573794,71.4213329286871,0.986,0.988,5.627,7.77,83.078,9.76,99.685,35.144 
1.4249142908026733,6.3049255449810016,23.658670766432312,72.7207689181921,0.988,0.99,5.641,7.816,83.904,9.996,99.685,37.505 
1.4355363449440297,6.205383206105849,23.857078313758354,71.14558029239278,0.988,0.99,5.615,7.64,83.432,10.272,99.646,38.804 
1.3219405629200944,5.629638142189786,23.761598070376248,65.43032823433916,0.988,0.99,5.509,7.706,86.58,10.704,99.646,45.258 
1.2410094217346503,5.40596177717473,23.66583945737632,65.08767529737945,0.988,0.99,5.511,7.733,89.059,11.177,99.725,50.138 
1.1717796063359154,5.08726207013892,23.652777103214383,61.061366131644434,0.989,0.991,5.336,7.757,90.201,11.649,99.725,53.876 
1.15789776327121,4.9093777894346475,23.62479794566148,60.06116535300564,0.989,0.99,5.491,7.804,91.067,12.082,99.725,56.828 
1.1408555610266133,5.045659338483707,23.70865566206013,62.03317792000733,0.988,0.99,5.514,7.858,91.381,12.082,99.725,54.152 
1.0837356519403452,4.8951889691902934,23.612234394573196,62.141255350177374,0.988,0.991,5.505,7.651,92.995,13.105,99.725,57.458 
1.0000213996403813,4.579431623307604,23.554063727484593,61.04273505627877,0.987,0.993,5.792,6.741,93.585,13.892,99.764,64.187 
0.9476796891392021,4.267782321628022,23.5089487366479,59.93573307582095,0.988,0.993,5.505,6.76,94.333,14.443,99.764,68.241 
0.8974029397220386,4.109844478789143,23.43357780587344,59.52027298036464,0.988,0.993,5.507,6.732,95.317,16.49,99.764,70.563 
0.8329224713116922,3.987171303809629,23.383629666801163,59.88110044587648,0.988,0.993,5.392,6.795,97.599,17.749,99.764,72.924 
0.8091507716782892,3.781820829063182,23.315044908205977,17.942391326893727,0.988,0.993,5.405,6.675,97.717,18.221,99.764,75.167 
0.7920859397556751,3.6681624017793437,23.250569450228312,16.5011842638642,0.989,0.993,5.331,6.621,97.796,19.362,99.764,77.489 
0.8411349973989717,3.843299230611783,24.04219113500182,17.282411573735352,0.989,0.993,5.358,6.725,97.442,18.772,99.764,73.554 
0.789083854317646,3.631057840687751,23.988979534917597,17.202066697899255,0.989,0.993,5.362,6.712,97.835,20.582,99.764,77.292 
0.8208300696989906,3.556129111328162,24.267182558974476,17.106956703480243,0.988,0.993,5.296,6.71,97.954,22.196,99.764,78.158 
0.8682040523234865,3.5274368115561554,24.929358399989148,17.022824493812376,0.987,0.993,5.326,6.749,97.442,23.14,99.764,78.512 
0.8544364835329595,3.448947999146978,24.941307188752056,15.303859188720983,0.987,0.991,5.553,6.897,97.442,23.691,99.764,79.85 
0.8523287796165816,3.424308051278265,24.891408825791615,15.232235008378991,0.987,0.991,5.538,6.885,97.521,23.888,99.764,80.126 
0.8247436566714235,3.3502768388242723,24.87603228278372,15.14423752541526,0.987,0.99,5.525,6.884,98.268,24.242,99.764,81.818 
0.7729611562257603,3.127804035074116,24.80574996568211,15.04174735132559,0.988,0.99,5.304,6.888,98.544,26.368,99.764,85.99 
0.7458293602522093,3.0218817982882173,24.882520223385725,15.140548333064647,0.989,0.989,5.146,7.085,98.662,26.722,99.764,89.099 
0.7647625748377076,3.6661673361616005,24.977344238432355,18.041535474998163,0.989,0.989,5.104,7.224,98.505,21.173,99.803,77.489 
0.7282113331707979,3.54344235536317,24.956650588637284,17.933853042935777,0.989,0.989,5.137,7.109,98.859,22.826,99.803,79.26 
0.714072399361209,3.398433375682369,24.85776012750646,17.13818961983014,0.989,0.989,5.113,7.081,98.859,23.731,99.803,81.7 
0.6849352893799048,3.306813978788498,24.855354375082257,17.04013305029659,0.989,0.989,4.985,7.085,99.37,25.069,99.803,82.605 
0.655093791765689,3.1300236491070077,24.743072646607068,16.932267641648746,0.989,0.99,4.975,6.981,99.449,28.06,99.803,85.045 
0.6334114703435304,2.9959337245821374,24.756003392434888,15.53831738285058,0.989,0.99,4.965,6.978,99.449,29.004,99.803,87.446 
0.6197641040311358,2.9251826529381497,24.70818741683349,15.400161872495078,0.989,0.99,4.963,7.019,99.488,29.791,99.803,88.666 
0.6033071670998125,2.830974967193607,24.659358711054008,15.244933777386166,0.99,0.99,4.85,7.025,99.488,31.129,99.803,90.397 
