Pressure(Pa),Temperature(K),H2S_mole_frac,CO2_mole_frac,H2S_uptake,CO2_uptake,H2S_Error,CO2_Error
0.1,380.,0.98,0.02,0.0000702661,0.0000000000,0.0002810644,0.0000000000
0.1,400.,0.02,0.98,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400.,0.116,0.884,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400.,0.212,0.788,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400.,0.308,0.692,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400.,0.404,0.596,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400.,0.5,0.5,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400.,0.596,0.404,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400.,0.692,0.308,0.0000702661,0.0000000000,0.0002810644,0.0000000000
0.1,400.,0.788,0.212,0.0000702661,0.0000000000,0.0002810644,0.0000000000
0.1,400.,0.884,0.116,0.0000702661,0.0000000000,0.0002810644,0.0000000000
0.1,400.,0.98,0.02,0.0000702661,0.0000000000,0.0002810644,0.0000000000
500000.095,200.,0.02,0.98,38.5765084695,864.5244303641,6.0533857792,17.3501293304
500000.095,200.,0.116,0.884,148.4197727241,724.9659518860,37.3436245297,55.8654422297
500000.095,200.,0.212,0.788,239.5342414028,604.6771199349,22.3630414676,33.6669882006
500000.095,200.,0.308,0.692,321.7379150782,502.3644231059,20.8604814809,29.2788697200
500000.095,200.,0.404,0.596,403.9198765299,388.7285460248,41.3159388071,51.8312750704
500000.095,200.,0.5,0.5,464.4352169190,317.7477214339,19.9578774236,25.5853936568
500000.095,200.,0.596,0.404,507.2202429607,262.0645377319,16.8228285894,26.1911695378
500000.095,200.,0.692,0.308,542.0360396897,217.1164257647,17.7163228608,19.3805562142
500000.095,200.,0.788,0.212,600.5481639392,150.5161367390,11.8977985522,15.3730937355
500000.095,200.,0.884,0.116,638.0362505769,93.5182559048,20.1924004496,16.7811136102
500000.095,200.,0.98,0.02,683.1550244753,22.1391760100,5.4755923487,8.5216392851
500000.095,220.,0.02,0.98,38.1466907584,828.5568845739,4.4901235744,12.0147581043
500000.095,220.,0.116,0.884,152.0875224192,688.5820565440,7.3872806666,6.4995153285
500000.095,220.,0.212,0.788,246.5509435140,567.7528521566,20.7926511305,25.3657432101
500000.095,220.,0.308,0.692,373.3527193142,408.7341465312,25.6512507863,31.1865814982
500000.095,220.,0.404,0.596,420.0514263880,356.1813586288,16.7487083548,18.9469332661
500000.095,220.,0.5,0.5,482.9254590980,272.7965179872,18.9631021591,23.4761513119
500000.095,220.,0.596,0.404,518.2466095916,225.7316518021,12.5517374320,10.1872254740
500000.095,220.,0.692,0.308,566.5093697032,169.9463583498,23.2655284044,38.6285477627
500000.095,220.,0.788,0.212,610.2116493661,108.2960736035,17.3906146412,24.7188783905
500000.095,220.,0.884,0.116,642.6275778418,66.9311682610,14.0534317067,13.3468141283
500000.095,220.,0.98,0.02,670.9767857276,11.6575146705,5.6552020520,3.6244691906
500000.095,240.,0.02,0.98,55.1260713345,747.8106217094,3.9405601092,7.0408665305
500000.095,240.,0.116,0.884,237.1682414079,535.6870263083,15.6443472813,14.1436712711
500000.095,240.,0.212,0.788,363.7884496152,381.4291991559,21.4628472189,22.3054071836
500000.095,240.,0.308,0.692,447.8717413669,282.7969996308,18.0758370693,17.7370647064
500000.095,240.,0.404,0.596,496.3479698791,226.9430571477,9.4669096946,12.6038671394
500000.095,240.,0.5,0.5,543.3425674845,168.9551754576,9.4349667373,13.2071265223
