Pressure(Pa),Temperature(K),Xe_mole_frac,Kr_mole_frac,Xe_uptake,Kr_uptake,Xe_Error,Kr_Error
5000000.075,220.,0.98,0.02,1806.6965646829,44.7417311035,8.0500635571,0.4691383709
1000000.095,200.,0.02,0.98,347.0137534661,1194.8613287422,4.3088451730,2.8493655607
5000000.075,340.,0.596,0.404,982.2318123155,158.0550157431,0.8847612599,0.4162710944
6000000.07,260.,0.02,0.98,135.4232307699,1178.2273136638,2.6693182555,2.8883876611
20000000.,280.,0.98,0.02,1551.4976562047,26.1875560468,6.3492225392,0.4447388367
1000000.095,400.,0.308,0.692,184.6169565845,80.4436563772,1.1166133156,0.1009046118
0.1,260.,0.98,0.02,0.0172290735,0.0000173173,0.0025911086,0.0000692692
20000000.,280.,0.02,0.98,74.8502038731,1280.9793461015,2.2556281545,2.1987912995
5000000.075,260.,0.5,0.5,1221.9232251769,352.7967572004,3.7541905457,2.7481472892
20000000.,380.,0.98,0.02,1259.4335771116,12.0976607248,2.4921570226,0.1394130347
20000000.,200.,0.404,0.596,920.5423414574,900.3025781056,6.9329665346,7.7820818377
20000000.,400.,0.02,0.98,51.9765874685,828.0441878779,0.2799712324,1.6034757913
1000000.095,360.,0.98,0.02,694.4168568604,2.6717309692,1.5735741558,0.0204260224
20000000.,200.,0.98,0.02,1950.5251685261,60.8557075446,5.6931165982,1.4774851798
0.1,380.,0.116,0.884,0.0000000000,0.0000000000,0.0000000000,0.0000000000
20000000.,400.,0.596,0.404,902.2593099343,241.9675532244,0.7385999819,0.3211315462
20000000.,200.,0.02,0.98,87.2119691295,1520.7568664831,5.1043834012,5.7399927276
0.1,380.,0.596,0.404,0.0001356620,0.0000173173,0.0003432007,0.0000692692
1000000.095,220.,0.788,0.212,1687.0703864940,100.8388859676,8.8151636989,0.9886801535
0.1,220.,0.02,0.98,0.0053179502,0.0021300284,0.0007750563,0.0011518285
1000000.095,380.,0.02,0.98,20.2683091709,158.5036205017,0.3056171572,0.9424593025
20000000.,380.,0.308,0.692,614.0098833711,504.9275579002,1.5022756530,1.6395038114
2000000.09,240.,0.788,0.212,1561.2026440661,109.6710919577,2.4174145800,1.1381801407
0.1,220.,0.98,0.02,0.2584089698,0.0000346346,0.0159444347,0.0000848371
20000000.,320.,0.02,0.98,68.9413642452,1120.5924168444,0.2719949279,1.4937059614
20000000.,400.,0.98,0.02,1211.1891596795,11.0140304308,2.2414269667,0.0807660639
4000000.08,360.,0.02,0.98,54.7808837178,511.4301708951,0.3159907469,1.4265131727
20000000.,280.,0.404,0.596,855.2153383713,675.2985016670,1.7133445922,1.8352722581
2000000.09,380.,0.788,0.212,704.7645841259,40.3219222054,1.4740399308,0.0747360429
1000000.095,240.,0.212,0.788,937.2697911386,429.4784717389,4.0718883844,2.3144039087
1000000.095,340.,0.212,0.788,283.2227154974,163.8354452118,1.9542008417,1.0811036230
20000000.,220.,0.98,0.02,1867.1940007156,50.2914767663,3.6431729856,0.5167628184
