Pressure(Pa),Temperature(K),CO2_mole_frac,CH4_mole_frac,CO2_uptake,CH4_uptake,CO2_Error,CH4_Error
0.1,400.,0.116,0.884,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400.,0.212,0.788,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400.,0.308,0.692,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400.,0.404,0.596,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400.,0.5,0.5,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400.,0.596,0.404,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400.,0.692,0.308,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400.,0.788,0.212,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400.,0.884,0.116,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.1,400.,0.98,0.02,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1500000.095,200.,0.02,0.98,441.7574217745,137.1544934251,11.0153806778,3.4209711506
1500000.095,200.,0.116,0.884,797.2378328833,33.2475488412,22.6301556043,3.1156766540
1500000.095,200.,0.212,0.788,861.1309860270,18.1446167836,21.9167913331,4.3912464768
1500000.095,200.,0.308,0.692,813.0886667558,27.8598535432,20.2590249026,4.0069909655
1500000.095,200.,0.404,0.596,830.0958048977,24.1478232494,15.0404608203,3.6921414418
1500000.095,200.,0.5,0.5,834.2649378187,20.9551615839,20.7861373061,1.4857561742
1500000.095,200.,0.596,0.404,850.8348134592,15.6003536649,22.0260565972,2.6948866228
1500000.095,200.,0.692,0.308,867.0580796890,12.1877244998,9.1061028861,1.5204383136
1500000.095,200.,0.788,0.212,884.7436157355,7.9654093898,8.7828362100,1.3212052002
1500000.095,200.,0.884,0.116,899.1159949868,4.4857788205,19.0400128410,0.5485841781
1500000.095,200.,0.98,0.02,896.2429193949,0.8909429669,17.3787773947,0.2347798115
1500000.095,220.,0.02,0.98,299.8916993840,159.7889999516,11.0214409340,4.1070413655
1500000.095,220.,0.116,0.884,671.7003051748,55.9349337644,26.1933804899,5.1099479037
1500000.095,220.,0.212,0.788,771.1002827332,29.6937890587,10.8942052049,1.5725656201
1500000.095,220.,0.308,0.692,812.5484761713,19.1748006697,14.2651684234,3.8732411483
1500000.095,220.,0.404,0.596,817.3566360959,17.3176251817,12.1260073489,1.2868459841
1500000.095,220.,0.5,0.5,823.3302838026,15.5495970346,5.0550617966,0.7036187815
1500000.095,220.,0.596,0.404,837.0699099351,11.8891521860,12.7152782233,1.4504499880
1500000.095,220.,0.692,0.308,845.1698590760,8.6834615488,15.0433422473,1.2897030048
1500000.095,220.,0.788,0.212,852.8686432851,6.1452653559,8.9322474468,0.7226843241
1500000.095,220.,0.884,0.116,863.4335017942,3.0726161016,5.0040853049,0.6783584938
1500000.095,220.,0.98,0.02,881.3118006819,0.5359449283,9.3394066863,0.1187828365
1500000.095,240.,0.02,0.98,173.1451304025,164.2118219851,3.7125766755,1.1026978391
1500000.095,240.,0.116,0.884,524.5652468547,78.7578796681,6.3011849532,1.4028519779
1500000.095,240.,0.212,0.788,657.5479665252,45.1776444880,9.6876818917,1.4041928757
1500000.095,240.,0.308,0.692,719.0615896911,29.2411897663,4.3123205494,0.8410576237
1500000.095,240.,0.404,0.596,759.9753208743,20.1162350460,8.6604788974,0.8922930093
1500000.095,240.,0.5,0.5,782.9951139204,14.2524021098,6.2036036359,0.4100277624
1500000.095,240.,0.596,0.404,800.7992172994,10.4168783817,7.1040915415,0.5934372778
1500000.095,240.,0.692,0.308,819.0240346719,6.9927121118,10.2078109923,0.3121959041
1500000.095,240.,0.788,0.212,822.7801822983,4.6586364758,5.6603638740,0.3323808561
1500000.095,240.,0.884,0.116,836.3992407293,2.1785899430,12.3527278209,0.2158472464
1500000.095,240.,0.98,0.02,844.7165026958,0.4003507951,10.6083548681,0.0927067625
1500000.095,260.,0.02,0.98,92.3695894084,147.1721150474,2.3831695867,1.4718714685
1500000.095,260.,0.116,0.884,385.1087872010,91.3055419439,6.3687337625,1.9062472787
1500000.095,260.,0.212,0.788,528.0901699977,59.1659529878,6.1520102339,1.1466189625
1500000.095,260.,0.308,0.692,611.3591710828,40.3345469469,4.8119204259,1.0877739445
1500000.095,260.,0.404,0.596,659.9399533470,28.9395342608,4.4309071521,0.3471433025
1500000.095,260.,0.5,0.5,705.0530957654,19.7832834863,7.4363813798,1.0457935010
1500000.095,260.,0.596,0.404,731.7828460968,13.7438412290,5.8810676958,0.3570227223
1500000.095,260.,0.692,0.308,750.4310143129,9.5795431687,8.3168922305,0.5573071579
1500000.095,260.,0.788,0.212,771.4232514180,5.7452792393,3.5966566007,0.5379889081
1500000.095,260.,0.884,0.116,779.9763750873,2.9674229025,3.5814192713,0.2745184686
1500000.095,260.,0.98,0.02,794.9080393555,0.4433165645,4.6963999903,0.0552221612
1500000.095,280.,0.02,0.98,50.7550016311,122.2589971844,1.4412948029,1.1512233095
1500000.095,280.,0.116,0.884,253.0790615580,91.1682901807,6.2186871038,0.9776760790
1500000.095,280.,0.212,0.788,393.3991351104,66.6870843878,2.1340123197,0.9605871916
1500000.095,280.,0.308,0.692,491.2828328863,47.8542196324,2.4110141948,0.7184359333
1500000.095,280.,0.404,0.596,556.7075413585,34.9003385514,4.2826092002,0.7734621779
1500000.095,280.,0.5,0.5,603.3803351988,25.3522903525,5.9525118908,0.4037405762
1500000.095,280.,0.596,0.404,639.4106198382,17.9868435612,5.2852285963,0.1200489651
1500000.095,280.,0.692,0.308,668.6845668953,12.3006091021,6.9356998376,0.3628528648
1500000.095,280.,0.788,0.212,693.6942725728,7.3472128615,7.2020401828,0.3952853639
1500000.095,280.,0.884,0.116,713.9535562523,3.7377567113,3.5936051601,0.0581732817
1500000.095,280.,0.98,0.02,730.7892991321,0.5805020224,3.8972378578,0.0248984633
1500000.095,300.,0.02,0.98,29.2143906132,97.0475390758,0.4079439122,1.0355210295
1500000.095,300.,0.116,0.884,158.2802966476,80.6630932731,2.6290371459,0.4084436353
1500000.095,300.,0.212,0.788,269.2483178220,64.2819958830,6.2386433076,0.4384943673
1500000.095,300.,0.308,0.692,358.1835462524,50.5463433462,4.4305740661,0.9832283022
1500000.095,300.,0.404,0.596,431.8765985739,38.7181256386,4.3654032883,0.5488932649
1500000.095,300.,0.5,0.5,489.8518415683,28.9527953007,3.9841863139,0.6014390530
1500000.095,300.,0.596,0.404,536.7155797324,20.9271807896,4.0890610194,0.2387629523
1500000.095,300.,0.692,0.308,572.4408080831,14.4708114373,4.8945653129,0.3117446968
1500000.095,300.,0.788,0.212,603.1470194203,9.0930287667,3.2513139057,0.1989810754
1500000.095,300.,0.884,0.116,627.2737439891,4.5148868031,6.8295915110,0.1106194506
1500000.095,300.,0.98,0.02,650.0127579534,0.7236881009,3.6412783829,0.0336327529
1500000.095,320.,0.02,0.98,17.7889187590,77.3242286426,0.2880451148,0.8383329474
1500000.095,320.,0.116,0.884,100.5320046209,66.6856256734,0.9967317756,0.5127446720
1500000.095,320.,0.212,0.788,175.6364082727,56.3767916144,2.7854728299,0.7666249900
1500000.095,320.,0.308,0.692,246.9945752177,46.4309453706,6.4191056476,0.6393121282
1500000.095,320.,0.404,0.596,312.2600724942,37.5044421127,2.0471985919,0.3642615165
1500000.095,320.,0.5,0.5,365.6641993031,29.3922993162,4.3421352518,0.4007425267
1500000.095,320.,0.596,0.404,416.2853580558,22.0426000098,6.6335019382,0.5119674140
1500000.095,320.,0.692,0.308,457.1892692452,15.6817764500,7.2036225368,0.2831424254
1500000.095,320.,0.788,0.212,492.5444293113,10.0518351054,3.6647562899,0.1632646758
1500000.095,320.,0.884,0.116,524.3140186802,5.1521460764,2.9355269832,0.0653160402
1500000.095,320.,0.98,0.02,551.1840676266,0.8304726249,1.4515993425,0.0214576985
1500000.095,340.,0.02,0.98,11.5395838191,62.2069415093,0.2740690900,0.3176058926
1500000.095,340.,0.116,0.884,65.6492953673,54.5387120240,1.3940262865,0.6008067913
1500000.095,340.,0.212,0.788,118.4090305464,47.1313934991,0.7595177506,0.5231046179
1500000.095,340.,0.308,0.692,169.6415748386,40.1170658922,2.4227305471,0.6556289384
1500000.095,340.,0.404,0.596,218.4783134226,33.3503882058,1.3843177973,0.3690061822
1500000.095,340.,0.5,0.5,262.3204031257,26.8347420050,2.5721655453,0.2507588137
1500000.095,340.,0.596,0.404,304.9047152903,20.8163848011,3.2936657368,0.3212724967
1500000.095,340.,0.692,0.308,344.9412846204,15.1198067309,1.7328818329,0.1709521901
1500000.095,340.,0.788,0.212,380.6450544662,10.0233570221,2.2800221372,0.0566391574
1500000.095,340.,0.884,0.116,413.9188304771,5.2211366366,1.8083273629,0.1058247603
1500000.095,340.,0.98,0.02,442.0171060549,0.8694932348,2.2540912975,0.0413117046
1500000.095,360.,0.02,0.98,8.0453936197,50.6571393347,0.1687821215,1.0211283693
1500000.095,360.,0.116,0.884,45.5865024897,45.1953148237,0.9722023125,0.4611237234
1500000.095,360.,0.212,0.788,83.1545254167,39.5030797440,1.6820050406,0.2262943716
1500000.095,360.,0.308,0.692,119.7420947040,33.6546627667,1.9908008249,0.4493609774
1500000.095,360.,0.404,0.596,153.4584978427,28.5774415658,1.3132897068,0.3589853520
1500000.095,360.,0.5,0.5,188.1754492380,23.1380945174,1.9488704232,0.2623392350
1500000.095,360.,0.596,0.404,221.6971800923,18.3957477271,2.0423155944,0.3366091325
1500000.095,360.,0.692,0.308,252.6828975491,13.6383828090,3.1291217014,0.0735890939
1500000.095,360.,0.788,0.212,282.5259496169,9.1475647933,6.0404603552,0.0508896618
1500000.095,360.,0.884,0.116,312.3339042994,4.8593423150,4.5562741805,0.0426981804
1500000.095,360.,0.98,0.02,339.4080818206,0.8251682089,5.4261609530,0.0174975389
1500000.095,380.,0.02,0.98,5.8109813280,42.1028734673,0.1093946653,0.2512004318
1500000.095,380.,0.116,0.884,33.1324772114,37.5738968093,0.7196475472,0.3551690856
1500000.095,380.,0.212,0.788,59.8521347714,33.1261108681,1.0630988772,0.3883369029
1500000.095,380.,0.308,0.692,86.3754833813,28.4333603671,1.0588177421,0.2683375114
1500000.095,380.,0.404,0.596,113.4009246370,24.1807769336,1.0426372242,0.2857877634
1500000.095,380.,0.5,0.5,139.6932306152,19.9630037298,1.3580118138,0.2720329501
1500000.095,380.,0.596,0.404,163.2172985278,15.8199233334,3.3652283468,0.2965598915
1500000.095,380.,0.692,0.308,187.3885767723,11.8961142320,2.4140835134,0.1574166153
1500000.095,380.,0.788,0.212,213.4766632499,8.0460696651,1.3467893475,0.0977208182
1500000.095,380.,0.884,0.116,235.8863437186,4.3455764760,3.4207546470,0.0748689940
1500000.095,380.,0.98,0.02,258.6920972703,0.7349268323,1.5576429399,0.0107989982
1500000.095,400.,0.02,0.98,4.3566220618,35.5577877579,0.0409283585,0.2940606374
1500000.095,400.,0.116,0.884,25.0070688274,31.5085955241,0.6311870768,0.2966718257
1500000.095,400.,0.212,0.788,44.8735527550,27.7722975272,0.9356521223,0.3374308935
1500000.095,400.,0.308,0.692,65.3408748215,24.1060178210,0.7013945348,0.3556659732
1500000.095,400.,0.404,0.596,84.7680049527,20.5230837507,1.3234672174,0.1300982362
1500000.095,400.,0.5,0.5,104.3346153661,16.9538085516,1.3656919429,0.1794379189
1500000.095,400.,0.596,0.404,124.3574917875,13.6972286737,0.5581162831,0.2878634418
1500000.095,400.,0.692,0.308,143.5567616923,10.2261846277,1.3787364525,0.2329577870
1500000.095,400.,0.788,0.212,161.4595196386,6.9700688862,1.2306978834,0.0710452092
1500000.095,400.,0.884,0.116,180.1138708137,3.7963042026,3.8589992910,0.0655100741
1500000.095,400.,0.98,0.02,198.5018091941,0.6492605144,1.8565030513,0.0119999589
3000000.09,200.,0.02,0.98,423.0315119410,151.4887824564,19.7190313631,7.1748125266
3000000.09,200.,0.116,0.884,804.0654563466,36.6723450105,11.9818579963,2.2357698458
3000000.09,200.,0.212,0.788,741.6345730196,52.6498094980,13.7500404557,3.9839259269
3000000.09,200.,0.308,0.692,768.2600313798,44.5989658585,25.2190329678,4.5328066506
3000000.09,200.,0.404,0.596,734.8383189809,56.4983290453,22.2090328008,5.7250320692
3000000.09,200.,0.5,0.5,760.3102008479,47.8611485258,16.0674486039,2.7997832351
3000000.09,200.,0.596,0.404,787.0463159901,40.9314263536,30.7579952379,7.5576809271
3000000.09,200.,0.692,0.308,795.2193695291,36.6019620411,25.3779022880,4.8356483979
